,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
374,-0.7787,0.281,0.281,0.0,@FoxNews,2018-10-08 04:49:03,"RT @letters4trump45: Are you dissatisfied with the coverage of @FLOTUS trip to Africa?
Almost no coverage at all.
It's an outrage and disre…",35
375,0.1531,0.164,0.164,0.211,@FoxNews,2018-10-08 04:49:01,@maxmoody161 @FoxNews @susanferrechio Yes it does. He's kept a low profile.,36
376,-0.7351,0.284,0.284,0.076,@FoxNews,2018-10-08 04:49:01,RT @SCBCNews: Failed elections in  #SouthernCameroons #Ambazonians as #Biya2018 tries to fraud his way again with already prepared envelops…,37
377,0.8922,0.0,0.0,0.316,@FoxNews,2018-10-08 04:49:00,"RT @UROCKlive1: It's nothing personal, but if you believe Donald Trump is a good person who tells the truth and wants to do good for the co…",38
378,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:00,RT @FoxNews: “Hit that beat!” A police officer from the Hammond Police Department showed off his dance moves for children at a local school…,39
379,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:59,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,40
380,-0.8402,0.333,0.333,0.0,@FoxNews,2018-10-08 04:48:59,"RT @FoxNews: .@benshapiro: ""The Democrats should be ashamed of themselves, but since they have no shame, none will be forthcoming."" https:/…",41
381,0.6249,0.0,0.0,0.577,@FoxNews,2018-10-08 04:48:59,@FoxNews Women are awesome. 😊,42
382,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:55,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,43
383,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:55,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,44
